District,State,Latitude,Longitude
Rajouri,Jammu and Kashmir,33.379,74.315
Ramban,Jammu and Kashmir,33.243,75.236
Reasi,Jammu and Kashmir,33.081,74.832
Samba,Jammu and Kashmir,32.563,75.119
Shopian,Jammu and Kashmir,33.717,74.835
Srinagar,Jammu and Kashmir,34.083,74.797
Udhampur,Jammu and Kashmir,32.916,75.141
Amritsar,Punjab,31.634,74.873
Barnala,Punjab,30.378,75.546
Bathinda,Punjab,30.211,74.945
Faridkot,Punjab,30.677,74.755
Fatehgarh Sahib,Punjab,30.643,76.395
Fazilka,Punjab,30.403,74.028
Firozpur,Punjab,30.933,74.622
Gurdaspur,Punjab,32.041,75.405
Hoshiarpur,Punjab,31.532,75.911
Jalandhar,Punjab,31.326,75.576
Kapurthala,Punjab,31.38,75.381
Ludhiana,Punjab,30.901,75.857
Malerkotla,Punjab,30.525,75.89
Mansa,Punjab,29.999,75.393
Moga,Punjab,30.816,75.172
Pathankot,Punjab,32.274,75.652
Patiala,Punjab,30.339,76.386
Rupnagar,Punjab,30.966,76.533
Sahibzada Ajit Singh Nagar,Punjab,30.704,76.717
Sangrur,Punjab,30.245,75.842
Shahid Bhagat Singh Nagar,Punjab,31.124,76.117
Sri Muktsar Sahib,Punjab,30.476,74.512
Tarn Taran,Punjab,31.451,74.928
Agra,Uttar Pradesh,27.176,78.008
Aligarh,Uttar Pradesh,27.897,78.088
Ambedkar Nagar,Uttar Pradesh,26.405,82.545
Amethi,Uttar Pradesh,26.154,81.814
Amroha,Uttar Pradesh,28.904,78.467
Auraiya,Uttar Pradesh,26.464,79.51
Ayodhya,Uttar Pradesh,26.799,82.204
Azamgarh,Uttar Pradesh,26.067,83.183
Baghpat,Uttar Pradesh,28.944,77.219
Bahraich,Uttar Pradesh,27.574,81.595
Ballia,Uttar Pradesh,25.758,84.149
Balrampur,Uttar Pradesh,27.43,82.182
Banda,Uttar Pradesh,25.475,80.335
Barabanki,Uttar Pradesh,26.938,81.199
Bareilly,Uttar Pradesh,28.367,79.43
Basti,Uttar Pradesh,26.8,82.716
Bhadohi,Uttar Pradesh,25.395,82.57
Bijnor,Uttar Pradesh,29.373,78.136
Budaun,Uttar Pradesh,28.033,79.121
Bulandshahr,Uttar Pradesh,28.407,77.849
Chandauli,Uttar Pradesh,25.26,83.268
Chitrakoot,Uttar Pradesh,25.198,80.922
Deoria,Uttar Pradesh,26.502,83.779
Etah,Uttar Pradesh,27.558,78.662
Etawah,Uttar Pradesh,26.785,79.015
Farrukhabad,Uttar Pradesh,27.392,79.581
Fatehpur,Uttar Pradesh,25.93,80.813
Firozabad,Uttar Pradesh,27.159,78.395
Gautam Buddha Nagar,Uttar Pradesh,28.535,77.391
Ghaziabad,Uttar Pradesh,28.669,77.453
Ghazipur,Uttar Pradesh,25.58,83.576
Gonda,Uttar Pradesh,27.133,81.962
Gorakhpur,Uttar Pradesh,26.76,83.373
Hamirpur,Uttar Pradesh,25.956,80.149
Hapur,Uttar Pradesh,28.73,77.781
Hardoi,Uttar Pradesh,27.398,80.126
Hathras,Uttar Pradesh,27.596,78.052
Jalaun,Uttar Pradesh,26.145,79.337
Jaunpur,Uttar Pradesh,25.747,82.683
Jhansi,Uttar Pradesh,25.448,78.569
Kannauj,Uttar Pradesh,27.055,79.918
Kanpur Dehat,Uttar Pradesh,26.415,79.85
Kanpur Nagar,Uttar Pradesh,26.449,80.331
Kasganj,Uttar Pradesh,27.808,78.646
Kaushambi,Uttar Pradesh,25.53,81.381
Kushinagar,Uttar Pradesh,26.74,83.888
Lakhimpur Kheri,Uttar Pradesh,27.946,80.782
Lalitpur,Uttar Pradesh,24.69,78.418
Lucknow,Uttar Pradesh,26.847,80.947
Maharajganj,Uttar Pradesh,27.128,83.562
Mahoba,Uttar Pradesh,25.292,79.872
Mainpuri,Uttar Pradesh,27.235,79.019
Mathura,Uttar Pradesh,27.492,77.673
Mau,Uttar Pradesh,25.941,83.561
Meerut,Uttar Pradesh,28.984,77.706
Mirzapur,Uttar Pradesh,25.146,82.569
Moradabad,Uttar Pradesh,28.838,78.776
Muzaffarnagar,Uttar Pradesh,29.472,77.708
Pilibhit,Uttar Pradesh,28.631,79.805
Pratapgarh,Uttar Pradesh,25.897,81.945
Prayagraj,Uttar Pradesh,25.435,81.846
Raebareli,Uttar Pradesh,26.234,81.24
Rampur,Uttar Pradesh,28.799,79.025
Saharanpur,Uttar Pradesh,29.964,77.546
Sambhal,Uttar Pradesh,28.584,78.571
Sant Kabir Nagar,Uttar Pradesh,26.691,83.072
Shahjahanpur,Uttar Pradesh,27.881,79.909
Shamli,Uttar Pradesh,29.45,77.315
Shravasti,Uttar Pradesh,27.508,82.049
Siddharthnagar,Uttar Pradesh,27.257,83.117
Sitapur,Uttar Pradesh,27.574,80.665
Sonbhadra,Uttar Pradesh,24.688,83.068
Sultanpur,Uttar Pradesh,26.265,82.073
Unnao,Uttar Pradesh,26.547,80.487
Varanasi,Uttar Pradesh,25.318,82.974
Almora,Uttarakhand,29.597,79.66
Bageshwar,Uttarakhand,29.838,79.771
Chamoli,Uttarakhand,30.404,79.319
Champawat,Uttarakhand,29.334,80.096
Dehradun,Uttarakhand,30.325,78.043
Haridwar,Uttarakhand,29.945,78.164
Nainital,Uttarakhand,29.391,79.454
Pauri Garhwal,Uttarakhand,30.15,78.78
Pithoragarh,Uttarakhand,29.583,80.218
Rudraprayag,Uttarakhand,30.285,78.981
Tehri Garhwal,Uttarakhand,30.375,78.48
Udham Singh Nagar,Uttarakhand,28.975,79.4
Uttarkashi,Uttarakhand,30.729,78.443
