tariff_id,state,state_id,discom,discom_id,consumer_category,voltage_level_or_load,energy_charge,energy_charge_unit,fixed_charge,fixed_charge_unit,demand_charge,demand_charge_unit,effective_from,tariff_year,tariff_order_category_label,has_tod,has_slab,notes,official_source,data_status,source_type
HP_HP_HPSEBL_011,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Medium Industrial Power Supply,50 to 100 kVA,5.6,Rs/kWh,0,Rs/kVA/month,120,Rs/kVA/month,2026-04-01,2026-27,Medium Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_012,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Large Industrial Power Supply,EHT 220 kV and above,5.45,Rs/kWh,0,Rs/kVA/month,425,Rs/kVA/month,2026-04-01,2026-27,Large Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_013,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Large Industrial Power Supply,EHT 132 kV and above,5.5,Rs/kWh,0,Rs/kVA/month,425,Rs/kVA/month,2026-04-01,2026-27,Large Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_014,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Large Industrial Power Supply,EHT 66 kV and above,5.55,Rs/kWh,0,Rs/kVA/month,425,Rs/kVA/month,2026-04-01,2026-27,Large Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_015,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Large Industrial Power Supply,HT-1 (<=1 MVA),5.85,Rs/kWh,0,Rs/kVA/month,250,Rs/kVA/month,2026-04-01,2026-27,Large Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
HP_HP_HPSEBL_016,Himachal Pradesh,HP,HPSEBL,HP_HPSEBL,Large Industrial Power Supply,HT-2 (>1 MVA),5.6,Rs/kWh,0,Rs/kVA/month,400,Rs/kVA/month,2026-04-01,2026-27,Large Industrial Power Supply,Y,Y,HPSEBL current tariff rates applicable from 01-Apr-2026.,https://www.hpseb.in/irj/go/km/docs/internet/New_Website/Pages/tariff2.html,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_017,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - Small,Up to 50 kVA,5.7,Rs/kVAh,100,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,General industrial,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_018,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - Medium,>50 to 100 kVA,5.83,Rs/kVAh,130,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,General industrial,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_019,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - Large General Industry,>100 to 1000 kVA,5.9,Rs/kVAh,210,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,General industry,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_020,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - Large General Industry,>1000 kVA,6.0,Rs/kVAh,280,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,General industry,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_021,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - PIU,>100 to 1000 kVA,5.9,Rs/kVAh,225,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,Power Intensive Unit,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_022,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - PIU,>1000 to 2500 kVA,6.25,Rs/kVAh,310,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,Power Intensive Unit,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
PB_PB_PSPCL_023,Punjab,PB,PSPCL,PB_PSPCL,Industrial Power Supply - PIU,>2500 kVA,6.34,Rs/kVAh,350,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,Power Intensive Unit,N,Y,Official FY2026-27 tariff effective 01-Apr-2026 to 31-Mar-2027.,https://docs.pspcl.in/docs/cecommercial2620260409130617682.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UK_UK_UPCL_024,Uttarakhand,UK,UPCL,UK_UPCL,LT Industry,Contracted load up to 75 kW,5.75,Rs/kVAh,185,Rs/kVA/month,0,Not separately charged,2026-04-01,2026-27,RTS-5 LT Industry,N,N,Approved FY2026-27 tariff; fixed charge Rs 185/kVA/month.,https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/03/202603312039696557.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UK_UK_UPCL_025,Uttarakhand,UK,UPCL,UK_UPCL,HT Industry,Contracted load up to 1000 kVA; LF up to 50%,6.85,Rs/kVAh,0,Not applicable,410,Rs/kVA of billable demand,2026-04-01,2026-27,RTS-5 HT Industry,N,Y,Approved FY2026-27 tariff; demand/fixed charge Rs 410/kVA of billable demand.,https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/03/202603312039696557.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UK_UK_UPCL_026,Uttarakhand,UK,UPCL,UK_UPCL,HT Industry,Contracted load up to 1000 kVA; LF above 50%,6.6,Rs/kVAh,0,Not applicable,410,Rs/kVA of billable demand,2026-04-01,2026-27,RTS-5 HT Industry,N,Y,Approved FY2026-27 tariff; demand/fixed charge Rs 410/kVA of billable demand.,https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/03/202603312039696557.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UK_UK_UPCL_027,Uttarakhand,UK,UPCL,UK_UPCL,HT Industry,Contracted load >1000 kVA; LF up to 50%,6.85,Rs/kVAh,0,Not applicable,480,Rs/kVA of billable demand,2026-04-01,2026-27,RTS-5 HT Industry,N,Y,Approved FY2026-27 tariff; demand/fixed charge Rs 480/kVA of billable demand.,https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/03/202603312039696557.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UK_UK_UPCL_028,Uttarakhand,UK,UPCL,UK_UPCL,HT Industry,Contracted load >1000 kVA; LF above 50%,6.6,Rs/kVAh,0,Not applicable,480,Rs/kVA of billable demand,2026-04-01,2026-27,RTS-5 HT Industry,N,Y,Approved FY2026-27 tariff; demand/fixed charge Rs 480/kVA of billable demand.,https://cdnbbsr.s3waas.gov.in/s3cf05968255451bdefe3c5bc64d550517/uploads/2026/03/202603312039696557.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_DVVNL_029,Uttar Pradesh,UP,DVVNL,UP_DVVNL,LMV-6 Small and Medium Power,Less than 75 kW industrial/processing,7.3,Rs/kWh,290,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LMV-6 Small and Medium Power,Y,N,Approved FY2026-27 base tariff; TOD rates apply separately by time period; no separate demand charge.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_DVVNL_030,Uttar Pradesh,UP,DVVNL,UP_DVVNL,HV-2 Large and Heavy Power,Supply up to 11 kV,7.1,Rs/kVAh,0,Not applicable,300,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_DVVNL_031,Uttar Pradesh,UP,DVVNL,UP_DVVNL,HV-2 Large and Heavy Power,Supply >11 kV to 66 kV,6.8,Rs/kVAh,0,Not applicable,290,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_DVVNL_032,Uttar Pradesh,UP,DVVNL,UP_DVVNL,HV-2 Large and Heavy Power,Supply >66 kV to 132 kV,6.4,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_DVVNL_033,Uttar Pradesh,UP,DVVNL,UP_DVVNL,HV-2 Large and Heavy Power,Supply >132 kV,6.1,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_MVVNL_034,Uttar Pradesh,UP,MVVNL,UP_MVVNL,LMV-6 Small and Medium Power,Less than 75 kW industrial/processing,7.3,Rs/kWh,290,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LMV-6 Small and Medium Power,Y,N,Approved FY2026-27 base tariff; TOD rates apply separately by time period; no separate demand charge.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_MVVNL_035,Uttar Pradesh,UP,MVVNL,UP_MVVNL,HV-2 Large and Heavy Power,Supply up to 11 kV,7.1,Rs/kVAh,0,Not applicable,300,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_MVVNL_036,Uttar Pradesh,UP,MVVNL,UP_MVVNL,HV-2 Large and Heavy Power,Supply >11 kV to 66 kV,6.8,Rs/kVAh,0,Not applicable,290,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_MVVNL_037,Uttar Pradesh,UP,MVVNL,UP_MVVNL,HV-2 Large and Heavy Power,Supply >66 kV to 132 kV,6.4,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_MVVNL_038,Uttar Pradesh,UP,MVVNL,UP_MVVNL,HV-2 Large and Heavy Power,Supply >132 kV,6.1,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PVVNL_039,Uttar Pradesh,UP,PVVNL,UP_PVVNL,LMV-6 Small and Medium Power,Less than 75 kW industrial/processing,7.3,Rs/kWh,290,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LMV-6 Small and Medium Power,Y,N,Approved FY2026-27 base tariff; TOD rates apply separately by time period; no separate demand charge.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PVVNL_040,Uttar Pradesh,UP,PVVNL,UP_PVVNL,HV-2 Large and Heavy Power,Supply up to 11 kV,7.1,Rs/kVAh,0,Not applicable,300,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PVVNL_041,Uttar Pradesh,UP,PVVNL,UP_PVVNL,HV-2 Large and Heavy Power,Supply >11 kV to 66 kV,6.8,Rs/kVAh,0,Not applicable,290,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PVVNL_042,Uttar Pradesh,UP,PVVNL,UP_PVVNL,HV-2 Large and Heavy Power,Supply >66 kV to 132 kV,6.4,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PVVNL_043,Uttar Pradesh,UP,PVVNL,UP_PVVNL,HV-2 Large and Heavy Power,Supply >132 kV,6.1,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PUVVNL_044,Uttar Pradesh,UP,PuVVNL,UP_PUVVNL,LMV-6 Small and Medium Power,Less than 75 kW industrial/processing,7.3,Rs/kWh,290,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LMV-6 Small and Medium Power,Y,N,Approved FY2026-27 base tariff; TOD rates apply separately by time period; no separate demand charge.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PUVVNL_045,Uttar Pradesh,UP,PuVVNL,UP_PUVVNL,HV-2 Large and Heavy Power,Supply up to 11 kV,7.1,Rs/kVAh,0,Not applicable,300,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PUVVNL_046,Uttar Pradesh,UP,PuVVNL,UP_PUVVNL,HV-2 Large and Heavy Power,Supply >11 kV to 66 kV,6.8,Rs/kVAh,0,Not applicable,290,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PUVVNL_047,Uttar Pradesh,UP,PuVVNL,UP_PUVVNL,HV-2 Large and Heavy Power,Supply >66 kV to 132 kV,6.4,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_PUVVNL_048,Uttar Pradesh,UP,PuVVNL,UP_PUVVNL,HV-2 Large and Heavy Power,Supply >132 kV,6.1,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_KESCO_049,Uttar Pradesh,UP,KESCO,UP_KESCO,LMV-6 Small and Medium Power,Less than 75 kW industrial/processing,7.3,Rs/kWh,290,Rs/kW/month,0,Not separately charged,2026-04-01,2026-27,LMV-6 Small and Medium Power,Y,N,Approved FY2026-27 base tariff; TOD rates apply separately by time period; no separate demand charge.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_KESCO_050,Uttar Pradesh,UP,KESCO,UP_KESCO,HV-2 Large and Heavy Power,Supply up to 11 kV,7.1,Rs/kVAh,0,Not applicable,300,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_KESCO_051,Uttar Pradesh,UP,KESCO,UP_KESCO,HV-2 Large and Heavy Power,Supply >11 kV to 66 kV,6.8,Rs/kVAh,0,Not applicable,290,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_KESCO_052,Uttar Pradesh,UP,KESCO,UP_KESCO,HV-2 Large and Heavy Power,Supply >66 kV to 132 kV,6.4,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
UP_UP_KESCO_053,Uttar Pradesh,UP,KESCO,UP_KESCO,HV-2 Large and Heavy Power,Supply >132 kV,6.1,Rs/kVAh,0,Not applicable,270,Rs/kVA/month,2026-04-01,2026-27,HV-2 Large and Heavy Power,Y,N,Approved FY2026-27 urban schedule; demand charge shown separately; TOD rates apply.,https://www.uperc.org/App_File/UPPCLTariffOrder-pdf72202630151PM.pdf,VERIFIED_OFFICIAL_SOURCE,REGULATOR_OR_DISCOM_OFFICIAL
